epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.15,1.33971,0.89464,1.24976,0.91925,0.88102,0.90867,0.3998,1.81957,1.27925,1.51257,0.000333082,0.000333082,0.0670249
2,919.409,1.31032,0.84713,1.26213,0.91197,0.89412,0.90253,0.44202,1.73908,0.87751,1.39556,0.000633427,0.000633427,0.0339919
3,1354.55,1.26689,0.78972,1.24599,0.92199,0.91469,0.92941,0.49225,1.52993,0.82245,1.3195,0.000900773,0.000900773,0.000925949
4,1787.17,1.22508,0.74468,1.22717,0.95334,0.92007,0.94331,0.51433,1.52951,0.72519,1.326,0.0008515,0.0008515,0.0008515
5,2222.44,1.20272,0.70729,1.21154,0.95018,0.92214,0.94029,0.4859,1.64465,0.72008,1.37524,0.000802,0.000802,0.000802
6,2654.42,1.18066,0.68011,1.20595,0.96084,0.9208,0.95592,0.54455,1.44719,0.6828,1.27561,0.0007525,0.0007525,0.0007525
7,3086.62,1.16182,0.66142,1.19229,0.96265,0.93095,0.95855,0.54585,1.46944,0.65727,1.2934,0.000703,0.000703,0.000703
8,3526.68,1.14449,0.63875,1.19136,0.94797,0.92636,0.95109,0.51873,1.54366,0.66837,1.32333,0.0006535,0.0006535,0.0006535
9,3960.5,1.13567,0.62827,1.18607,0.97224,0.93949,0.96775,0.5588,1.45955,0.61747,1.28426,0.000604,0.000604,0.000604
10,4396.79,1.12236,0.6096,1.17754,0.96831,0.93949,0.96259,0.58534,1.36123,0.5931,1.21833,0.0005545,0.0005545,0.0005545
11,4834.66,1.09111,0.51102,1.17375,0.96773,0.94253,0.96915,0.57384,1.41277,0.56884,1.26576,0.000505,0.000505,0.000505
12,5264.69,1.07367,0.49136,1.15787,0.9696,0.94262,0.96693,0.60987,1.29553,0.555,1.2132,0.0004555,0.0004555,0.0004555
13,5697.88,1.05465,0.46906,1.1516,0.97487,0.93902,0.97421,0.62451,1.28197,0.52995,1.21645,0.000406,0.000406,0.000406
14,6134.27,1.04467,0.45952,1.15141,0.97662,0.94032,0.97017,0.64354,1.23006,0.50388,1.21478,0.0003565,0.0003565,0.0003565
15,6570.01,1.02637,0.44189,1.13923,0.97031,0.95024,0.97201,0.65781,1.18994,0.48093,1.18461,0.000307,0.000307,0.000307
16,7006.35,1.01623,0.42556,1.13547,0.97258,0.95122,0.97643,0.67169,1.15006,0.47952,1.17602,0.0002575,0.0002575,0.0002575
17,7441.48,1.00556,0.41271,1.1289,0.98056,0.94631,0.97637,0.67774,1.14885,0.47446,1.17676,0.000208,0.000208,0.000208
18,7874.66,0.98775,0.40375,1.11485,0.97534,0.947,0.97784,0.67777,1.14294,0.46097,1.16864,0.0001585,0.0001585,0.0001585
19,8305.19,0.97078,0.3942,1.10566,0.97447,0.94934,0.97609,0.67961,1.13897,0.45035,1.16162,0.000109,0.000109,0.000109
20,8739.83,0.95748,0.38126,1.09738,0.97596,0.95028,0.97886,0.68481,1.13147,0.44329,1.15772,5.95e-05,5.95e-05,5.95e-05
